,reference,country,title,author,is_gov,word_count,Body,central_bank,year,language,vader_polarity,lm_polarity,finbert_polarity
1998-09-30,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-01,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-02,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-03,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-04,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-05,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-06,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-07,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-08,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-09,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-10,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-11,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-12,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-13,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-14,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-15,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-16,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-17,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-18,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-19,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-20,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-10-21,r981021b_BOE,United Kingdom,Britain in Europe,George,False,4045,BOE,Bank of England,1998,en,0.9999,-0.1005290999972005,0.33105594
1998-10-21,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-22,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-23,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-24,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-25,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-26,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-27,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-28,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-29,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-30,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-10-31,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,True,2311,BOE,Bank of England,1998,en,0.9982,-0.3725490159554018,-0.63845426
1998-11-01,r981101a_BOE,United Kingdom,"Economic policy, with and without forecasts",Budd,False,4690,BOE,Bank of England,1998,en,0.9997,-0.1428571420068027,-0.00011811008
1998-11-01,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-02,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-03,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-04,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-05,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-06,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-07,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-08,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-09,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-10,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-11,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-12,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-13,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-14,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-15,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-16,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-17,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-18,r981101b_BOE,United Kingdom,Inflation targeting in practice: the UK experience,Vickers,False,4452,BOE,Bank of England,1998,en,0.9988,-0.4065934043593769,-0.0022585136
1998-11-19,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-20,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-21,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-22,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-23,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-24,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-25,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-26,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-27,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-28,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-29,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-11-30,r981119a_BOE,United Kingdom,Speech,George,False,2363,BOE,Bank of England,1998,en,0.9962,-0.5799999942,-0.41871777
1998-12-01,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-02,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-03,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-04,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-05,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-06,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-07,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-08,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-09,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-10,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-11,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-12,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-13,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-14,r981201a_BOE,United Kingdom,Speech,Governor,False,6144,BOE,Bank of England,1998,en,0.999,-0.5524475505159177,0.055477288
1998-12-15,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-16,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-17,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-18,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-19,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-20,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-21,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-22,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-23,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-24,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-25,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-26,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-27,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-28,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-29,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-30,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1998-12-31,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-01,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-02,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-03,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-04,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-05,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-06,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-07,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-08,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-09,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-10,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-11,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.2132701411693358,-0.0070718974
1999-01-12,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.5284552802564612,-0.7485165
1999-01-13,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.5284552802564612,-0.7485165
1999-01-14,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.5284552802564612,-0.7485165
1999-01-15,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.5284552802564612,-0.7485165
1999-01-16,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.5284552802564612,-0.7485165
1999-01-17,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.5284552802564612,-0.7485165
1999-01-18,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-19,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-20,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-21,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-22,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-23,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-24,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-25,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-26,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-27,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-28,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-29,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-30,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-01-31,r990118a_BOE,United Kingdom,Speech,George,False,2434,BOE,Bank of England,1999,en,0.9993,-0.2295081948400967,-0.43686494
1999-02-01,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-02,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-03,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-04,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-05,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-06,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-07,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-08,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-09,r990201a_BOE,United Kingdom,Speech,George,False,1787,BOE,Bank of England,1999,en,0.9997,0.0505050499948984,0.184429
1999-02-10,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-11,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-12,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-13,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-14,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-15,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-16,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-17,r990210a_BOE,United Kingdom,Speech,George,False,1862,BOE,Bank of England,1999,en,0.9995,-0.15662650413703,-0.3455483
1999-02-18,r990218a_BOE,United Kingdom,The Chancellor's Lecture,George,False,3886,BOE,Bank of England,1999,en,0.9996,-0.362499997734375,-0.09696722
1999-02-19,r990218a_BOE,United Kingdom,The Chancellor's Lecture,George,False,3886,BOE,Bank of England,1999,en,0.9996,-0.362499997734375,-0.09696722
1999-02-20,r990218a_BOE,United Kingdom,The Chancellor's Lecture,George,False,3886,BOE,Bank of England,1999,en,0.9996,-0.362499997734375,-0.09696722
1999-02-21,r990218a_BOE,United Kingdom,The Chancellor's Lecture,George,False,3886,BOE,Bank of England,1999,en,0.9996,-0.362499997734375,-0.09696722
1999-02-22,r990218a_BOE,United Kingdom,The Chancellor's Lecture,George,False,3886,BOE,Bank of England,1999,en,0.9996,-0.362499997734375,-0.09696722
1999-02-23,r990218a_BOE,United Kingdom,The Chancellor's Lecture,George,False,3886,BOE,Bank of England,1999,en,0.9996,-0.362499997734375,-0.09696722
1999-02-24,r990224a_BOE,United Kingdom,Speech,George,False,2800,BOE,Bank of England,1999,en,0.9992,-0.3333333306233063,-0.23669788
1999-02-25,r990224a_BOE,United Kingdom,Speech,George,False,2800,BOE,Bank of England,1999,en,0.9992,-0.3333333306233063,-0.23669788
1999-02-26,r990224a_BOE,United Kingdom,Speech,George,False,2800,BOE,Bank of England,1999,en,0.9992,-0.3333333306233063,-0.23669788
1999-02-27,r990224a_BOE,United Kingdom,Speech,George,False,2800,BOE,Bank of England,1999,en,0.9992,-0.3333333306233063,-0.23669788
1999-02-28,r990224a_BOE,United Kingdom,Speech,George,False,2800,BOE,Bank of England,1999,en,0.9992,-0.3333333306233063,-0.23669788
1999-03-01,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-02,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-03,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-04,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-05,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-06,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-07,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-08,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-09,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-10,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-11,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-12,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-13,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-14,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
1999-03-15,r990301a_BOE,United Kingdom,Speech,George,False,2377,BOE,Bank of England,1999,en,0.9996,-0.0515463912211712,0.08385607
